standort_id,patch_idx,patch_row,patch_col,patch_x_mm,patch_y_mm,patch_size_px,valid_ratio,roughness_index,var_Nz,surface_entropy_Nz,albedo_variance,skewness_Nz,kurtosis_Nz,edge_mean,edge_std,edge_p95,edge_density_global,std_Nx,std_Ny,albedo_mean,mean_deviation_deg
S002,30,4,2,100,200,193,0.9285618405863245,0.42273980805294936,0.00807863287627697,2.78231186145465,0.10752511024475098,-1.3076932430267334,1.6742768287658691,0.3154793083667755,0.23777824640274048,0.7945868968963623,0.1280791025789291,0.299423485994339,0.2984200417995453,0.9145715832710266,23.250473022460938
S002,31,4,3,150,200,193,0.9808317001798706,0.42473812913570586,0.007155696861445904,2.764104442551765,0.13283993303775787,-1.1213353872299194,0.8965709209442139,0.31429600715637207,0.23269757628440857,0.7726664543151855,0.124620227179417,0.29098907113075256,0.30939915776252747,0.9800521731376648,23.234243392944336
S002,32,4,4,200,200,193,0.9824424816773605,0.41457813910413704,0.006846393924206495,2.719880400162891,0.12464173138141632,-1.1944164037704468,1.1649384498596191,0.30798622965812683,0.23041920363903046,0.7671268582344055,0.11955185134581227,0.29101288318634033,0.29527366161346436,1.0023037195205688,22.615182876586914
S002,33,4,5,250,200,193,0.9408843190421219,0.41297093202737134,0.007414946798235178,2.742451555582286,0.10871182382106781,-1.3781566619873047,2.147886276245117,0.3232235610485077,0.2414773851633072,0.7958012223243713,0.1322509772591092,0.28248104453086853,0.3012464940547943,0.9322835803031921,22.816802978515625
S002,34,4,6,300,200,193,0.8023571102579935,0.40873727189535775,0.007827036082744598,2.754533129567466,0.08379464596509933,-1.473646640777588,2.5952301025390625,0.3159123361110687,0.2504675090312958,0.8084656000137329,0.12992270887007729,0.26282811164855957,0.31302961707115173,0.9160635471343994,23.006120681762695
S002,35,5,0,0,250,193,0.5404171924078499,,,,,,,,,,,,,,
S002,36,5,1,50,250,193,0.7869473005986738,0.37087472957229944,0.006907036527991295,2.538480350123928,0.09093279391527176,-2.173278570175171,6.2948503494262695,0.2712406516075134,0.23546239733695984,0.7253791093826294,0.08938013850510013,0.25246086716651917,0.27168285846710205,0.9273384809494019,20.269149780273438
S002,37,5,2,100,250,193,0.9052055088727214,0.4013829406405837,0.007549242582172155,2.698303630297299,0.09857262670993805,-1.5464141368865967,2.490880012512207,0.3004757761955261,0.23756647109985352,0.7689050436019897,0.11462720208790557,0.2876623570919037,0.2799261212348938,0.9324631690979004,22.098390579223633
S002,38,5,3,150,250,193,0.9628983328411501,0.38828632802670093,0.0064298915676772594,2.608604559886681,0.11612502485513687,-1.5749075412750244,2.817142963409424,0.29795584082603455,0.23230917751789093,0.7611556053161621,0.11104915381827306,0.27902188897132874,0.2700241804122925,0.9961848855018616,20.99956512451172
S002,39,5,4,200,250,193,0.9292061531853204,0.4109649915696418,0.0072767725214362144,2.7234783563739065,0.1282685548067093,-1.4202176332473755,2.219132900238037,0.3172246217727661,0.2437482476234436,0.798412024974823,0.12773026695943604,0.2936120331287384,0.28754860162734985,0.9347342848777771,22.534921646118164
S002,40,5,5,250,250,193,0.9009369379043732,0.4042048197205509,0.008669245056807995,2.729730052058943,0.09947942942380905,-1.7051838636398315,3.297058582305908,0.32391008734703064,0.2673032283782959,0.8687447905540466,0.13671444321940462,0.2892906963825226,0.2822984755039215,0.934271514415741,22.53693962097168
